Ticker,Company Name,Market Cap,P/E Ratio,Dividend Yield,Sector,Industry,Currency,Market Cap USD,Market
ADP,"Automatic Data Processing, Inc.",122301939712.0,31.342024,0.020599999,Technology,Software - Application,USD,122301939712.0,S&P 500
AZO,"AutoZone, Inc.",55617052672.0,22.17349,,Consumer Cyclical,Specialty Retail,USD,55617052672.0,S&P 500
AVB,"AvalonBay Communities, Inc.",30573840384.0,29.324694,0.031600002,Real Estate,REIT - Residential,USD,30573840384.0,S&P 500
AVY,Avery Dennison Corporation,15499624448.0,23.158464,0.0182,Consumer Cyclical,Packaging & Containers,USD,15499624448.0,S&P 500
AXON,"Axon Enterprise, Inc.",48800780288.0,166.65884,,Industrials,Aerospace & Defense,USD,48800780288.0,S&P 500
BKR,Baker Hughes Company,42618884096.0,19.313902,0.0195,Energy,Oil & Gas Equipment & Services,USD,42618884096.0,S&P 500
BALL,Ball Corporation,16511909888.0,23.054167,0.0145000005,Consumer Cyclical,Packaging & Containers,USD,16511909888.0,S&P 500
BAC,Bank of America Corporation,355807690752.0,14.563863,0.0221,Financial Services,Banks - Diversified,USD,355807690752.0,S&P 500
BAX,Baxter International Inc.,16737074176.0,131.12,0.0207,Healthcare,Medical Instruments & Supplies,USD,16737074176.0,S&P 500
BDX,"Becton, Dickinson and Company",71602970624.0,42.205128,0.0175,Healthcare,Medical Instruments & Supplies,USD,71602970624.0,S&P 500
BRK.B,N/A,,,,N/A,N/A,USD,,S&P 500
BBY,"Best Buy Co., Inc.",18191900672.0,14.570205,0.0404,Consumer Cyclical,Specialty Retail,USD,18191900672.0,S&P 500
TECH,Bio-Techne Corporation,11413212160.0,75.61053,0.0045,Healthcare,Biotechnology,USD,11413212160.0,S&P 500
BIIB,Biogen Inc.,21043281920.0,13.056962,,Healthcare,Drug Manufacturers - General,USD,21043281920.0,S&P 500
BLK,"BlackRock, Inc.",163027189760.0,25.062143,0.0212,Financial Services,Asset Management,USD,163027189760.0,S&P 500
BX,Blackstone Inc.,224843694080.0,63.704468,0.0186,Financial Services,Asset Management,USD,224843694080.0,S&P 500
BK,The Bank of New York Mellon Corporation,61749186560.0,14.834482,0.0248,Financial Services,Banks - Diversified,USD,61749186560.0,S&P 500
BA,The Boeing Company,130108850176.0,,,Industrials,Aerospace & Defense,USD,130108850176.0,S&P 500
BKNG,Booking Holdings Inc.,156277981184.0,31.949795,0.0074,Consumer Cyclical,Travel Services,USD,156277981184.0,S&P 500
BWA,BorgWarner Inc.,7101189120.0,8.037129,0.0136,Consumer Cyclical,Auto Parts,USD,7101189120.0,S&P 500
BSX,Boston Scientific Corporation,151377084416.0,84.88429,,Healthcare,Medical Devices,USD,151377084416.0,S&P 500
BMY,Bristol-Myers Squibb Company,119764025344.0,,0.042,Healthcare,Drug Manufacturers - General,USD,119764025344.0,S&P 500
AVGO,Broadcom Inc.,967236780032.0,158.73077,0.0117,Technology,Semiconductors,USD,967236780032.0,S&P 500
BR,"Broadridge Financial Solutions, Inc.",27534372864.0,40.824955,0.0149,Technology,Information Technology Services,USD,27534372864.0,S&P 500
BRO,"Brown & Brown, Inc.",29502287872.0,29.817919,0.0057,Financial Services,Insurance Brokers,USD,29502287872.0,S&P 500
BF.B,N/A,,,,N/A,N/A,USD,,S&P 500
BLDR,"Builders FirstSource, Inc.",19405631488.0,16.466797,,Industrials,Building Products & Equipment,USD,19405631488.0,S&P 500
BG,Bunge Global SA,10921624576.0,9.9138155,0.0348,Consumer Defensive,Farm Products,USD,10921624576.0,S&P 500
BXP,"BXP, Inc.",12145991680.0,29.930433,0.053600002,Real Estate,REIT - Office,USD,12145991680.0,S&P 500
CHRW,"C.H. Robinson Worldwide, Inc.",12757865472.0,37.34602,0.023,Industrials,Integrated Freight & Logistics,USD,12757865472.0,S&P 500
CDNS,"Cadence Design Systems, Inc.",79503360000.0,76.28421,,Technology,Software - Application,USD,79503360000.0,S&P 500
CZR,"Caesars Entertainment, Inc.",7560038912.0,,,Consumer Cyclical,Resorts & Casinos,USD,7560038912.0,S&P 500
CPT,Camden Property Trust,11796785152.0,34.88328,0.0373,Real Estate,REIT - Residential,USD,11796785152.0,S&P 500
CPB,The Campbell's Company,11527874560.0,21.131145,0.0325,Consumer Defensive,Packaged Foods,USD,11527874560.0,S&P 500
COF,Capital One Financial Corporation,77736615936.0,17.608809,0.0124,Financial Services,Credit Services,USD,77736615936.0,S&P 500
CAH,"Cardinal Health, Inc.",30919198720.0,24.569233,0.015800001,Healthcare,Medical Distribution,USD,30919198720.0,S&P 500
KMX,"CarMax, Inc.",13180659712.0,29.149658,,Consumer Cyclical,Auto & Truck Dealerships,USD,13180659712.0,S&P 500
CCL,Carnival Corporation & plc,37731250176.0,19.381943,,Consumer Cyclical,Travel Services,USD,37731250176.0,S&P 500
CARR,Carrier Global Corporation,58140311552.0,38.11765,0.0139,Industrials,Building Products & Equipment,USD,58140311552.0,S&P 500
CAT,Caterpillar Inc.,189852221440.0,18.247334,0.0143,Industrials,Farm & Heavy Construction Machinery,USD,189852221440.0,S&P 500
CBOE,"Cboe Global Markets, Inc.",21358039040.0,27.79564,0.0124,Financial Services,Financial Data & Stock Exchanges,USD,21358039040.0,S&P 500
CBRE,"CBRE Group, Inc.",43344388096.0,45.83819,,Real Estate,Real Estate Services,USD,43344388096.0,S&P 500
CDW,CDW Corporation,26057109504.0,23.93268,0.0128,Technology,Information Technology Services,USD,26057109504.0,S&P 500
CE,Celanese Corporation,7754593792.0,7.0657372,0.0395,Basic Materials,Chemicals,USD,7754593792.0,S&P 500
COR,"Cencora, Inc.",49615503360.0,34.034576,0.0086,Healthcare,Medical Distribution,USD,49615503360.0,S&P 500
CNC,Centene Corporation,32265922560.0,11.037996,,Healthcare,Healthcare Plans,USD,32265922560.0,S&P 500
CNP,"CenterPoint Energy, Inc.",21050781696.0,21.533333,0.0272,Utilities,Utilities - Regulated Electric,USD,21050781696.0,S&P 500
CF,"CF Industries Holdings, Inc.",16100329472.0,14.66244,0.0216,Basic Materials,Agricultural Inputs,USD,16100329472.0,S&P 500
CRL,"Charles River Laboratories International, Inc.",8265655296.0,20.154612,,Healthcare,Diagnostics & Research,USD,8265655296.0,S&P 500
SCHW,The Charles Schwab Corporation,150215753728.0,27.444815,0.0124,Financial Services,Capital Markets,USD,150215753728.0,S&P 500
CHTR,"Charter Communications, Inc.",51006173184.0,11.260733,,Communication Services,Telecom Services,USD,51006173184.0,S&P 500
CVX,Chevron Corporation,277582807040.0,17.127613,0.0419,Energy,Oil & Gas Integrated,USD,277582807040.0,S&P 500
CMG,"Chipotle Mexican Grill, Inc.",79398117376.0,53.9537,,Consumer Cyclical,Restaurants,USD,79398117376.0,S&P 500
CB,Chubb Limited,110526177280.0,12.253664,0.0134000005,Financial Services,Insurance - Property & Casualty,USD,110526177280.0,S&P 500
CHD,"Church & Dwight Co., Inc.",26158436352.0,47.87892,0.0106,Consumer Defensive,Household & Personal Products,USD,26158436352.0,S&P 500
CI,The Cigna Group,84366581760.0,28.722536,0.0185,Healthcare,Healthcare Plans,USD,84366581760.0,S&P 500
CINF,Cincinnati Financial Corporation,21613676544.0,7.1089973,0.0234,Financial Services,Insurance - Property & Casualty,USD,21613676544.0,S&P 500
CTAS,Cintas Corporation,80127696896.0,47.845783,0.0076,Industrials,Specialty Business Services,USD,80127696896.0,S&P 500
CSCO,"Cisco Systems, Inc.",237173358592.0,25.55794,0.0269,Technology,Communication Equipment,USD,237173358592.0,S&P 500
C,Citigroup Inc.,151350575104.0,13.551261,0.0286,Financial Services,Banks - Diversified,USD,151350575104.0,S&P 500
CFG,"Citizens Financial Group, Inc.",20978657280.0,15.716171,0.0353,Financial Services,Banks - Regional,USD,20978657280.0,S&P 500
CLX,The Clorox Company,19533879296.0,54.986065,0.0309,Consumer Defensive,Household & Personal Products,USD,19533879296.0,S&P 500
CME,CME Group Inc.,83784163328.0,24.447948,0.044699997,Financial Services,Financial Data & Stock Exchanges,USD,83784163328.0,S&P 500
CMS,CMS Energy Corporation,19651088384.0,18.73789,0.0313,Utilities,Utilities - Regulated Electric,USD,19651088384.0,S&P 500
KO,The Coca-Cola Company,270659092480.0,26.07054,0.0309,Consumer Defensive,Beverages - Non-Alcoholic,USD,270659092480.0,S&P 500
CTSH,Cognizant Technology Solutions Corporation,40255950848.0,17.96239,0.0148,Technology,Information Technology Services,USD,40255950848.0,S&P 500
CL,Colgate-Palmolive Company,73179676672.0,25.738506,0.0223,Consumer Defensive,Household & Personal Products,USD,73179676672.0,S&P 500
CMCSA,Comcast Corporation,142959542272.0,10.070081,0.0332,Communication Services,Telecom Services,USD,142959542272.0,S&P 500
CAG,"Conagra Brands, Inc.",12362588160.0,25.145632,0.0512,Consumer Defensive,Packaged Foods,USD,12362588160.0,S&P 500
COP,ConocoPhillips,131373957120.0,12.047449,0.0307,Energy,Oil & Gas E&P,USD,131373957120.0,S&P 500
ED,"Consolidated Edison, Inc.",32071614464.0,17.400375,0.0367,Utilities,Utilities - Regulated Electric,USD,32071614464.0,S&P 500
STZ,"Constellation Brands, Inc.",32939165696.0,48.594666,0.0184,Consumer Defensive,Beverages - Brewers,USD,32939165696.0,S&P 500
CEG,Constellation Energy Corporation,91314290688.0,32.146477,0.0047999998,Utilities,Utilities - Renewable,USD,91314290688.0,S&P 500
COO,"The Cooper Companies, Inc.",19559135232.0,50.0,0.0002,Healthcare,Medical Instruments & Supplies,USD,19559135232.0,S&P 500
CPRT,"Copart, Inc.",55229423616.0,40.083916,,Industrials,Specialty Business Services,USD,55229423616.0,S&P 500
GLW,Corning Incorporated,42589409280.0,85.86207,0.0219,Technology,Electronic Components,USD,42589409280.0,S&P 500
CPAY,"Corpay, Inc.",26575226880.0,27.171776,,Technology,Software - Infrastructure,USD,26575226880.0,S&P 500
CTVA,"Corteva, Inc.",44674043904.0,67.708336,0.0105,Basic Materials,Agricultural Inputs,USD,44674043904.0,S&P 500
CSGP,"CoStar Group, Inc.",31013474304.0,180.11906,,Real Estate,Real Estate Services,USD,31013474304.0,S&P 500
COST,Costco Wholesale Corporation,427927535616.0,56.50762,0.0047,Consumer Defensive,Discount Stores,USD,427927535616.0,S&P 500
CTRA,Coterra Energy Inc.,20797206528.0,17.115152,0.0297,Energy,Oil & Gas E&P,USD,20797206528.0,S&P 500
CRWD,"CrowdStrike Holdings, Inc.",97802715136.0,763.5962,,Technology,Software - Infrastructure,USD,97802715136.0,S&P 500
CCI,Crown Castle Inc.,38196817920.0,31.166668,0.0712,Real Estate,REIT - Specialty,USD,38196817920.0,S&P 500
CSX,CSX Corporation,63599288320.0,18.424582,0.0143,Industrials,Railroads,USD,63599288320.0,S&P 500
CMI,Cummins Inc.,48565170176.0,23.199213,0.020599999,Industrials,Specialty Industrial Machinery,USD,48565170176.0,S&P 500
CVS,CVS Health Corporation,71603527680.0,14.441625,0.0467,Healthcare,Healthcare Plans,USD,71603527680.0,S&P 500
DHR,Danaher Corporation,160884244480.0,42.373104,0.0047999998,Healthcare,Diagnostics & Research,USD,160884244480.0,S&P 500
DRI,"Darden Restaurants, Inc.",22703089664.0,22.173914,0.035,Consumer Cyclical,Restaurants,USD,22703089664.0,S&P 500
DVA,DaVita Inc.,14253310976.0,18.725216,,Healthcare,Medical Care Facilities,USD,14253310976.0,S&P 500
DAY,Dayforce Inc,11259780096.0,210.0,,Technology,Software - Application,USD,11259780096.0,S&P 500
DECK,Deckers Outdoor Corporation,33255725056.0,38.6067,,Consumer Cyclical,Footwear & Accessories,USD,33255725056.0,S&P 500
DE,Deere & Company,130227355648.0,18.656263,0.0145000005,Industrials,Farm & Heavy Construction Machinery,USD,130227355648.0,S&P 500
DELL,Dell Technologies Inc.,71933386752.0,18.247787,0.0126,Technology,Computer Hardware,USD,71933386752.0,S&P 500
DAL,"Delta Air Lines, Inc.",44156579840.0,12.83865,0.0098,Industrials,Airlines,USD,44156579840.0,S&P 500
DVN,Devon Energy Corporation,23037480960.0,6.4944444,0.041300002,Energy,Oil & Gas E&P,USD,23037480960.0,S&P 500
DXCM,"DexCom, Inc.",33759127552.0,52.38182,,Healthcare,Medical Devices,USD,33759127552.0,S&P 500
FANG,"Diamondback Energy, Inc.",49889239040.0,9.859203,0.048499998,Energy,Oil & Gas E&P,USD,49889239040.0,S&P 500
DLR,"Digital Realty Trust, Inc.",54682365952.0,131.4878,0.030199999,Real Estate,REIT - Specialty,USD,54682365952.0,S&P 500
DFS,Discover Financial Services,50521051136.0,11.351214,0.014199999,Financial Services,Credit Services,USD,50521051136.0,S&P 500
DG,Dollar General Corporation,15843469312.0,11.887789,0.0297,Consumer Defensive,Discount Stores,USD,15843469312.0,S&P 500
DLTR,"Dollar Tree, Inc.",15955893248.0,,,Consumer Defensive,Discount Stores,USD,15955893248.0,S&P 500
D,"Dominion Energy, Inc.",46284550144.0,20.332102,0.048499998,Utilities,Utilities - Regulated Electric,USD,46284550144.0,S&P 500
DPZ,"Domino's Pizza, Inc.",14772099072.0,26.308733,0.014099999,Consumer Cyclical,Restaurants,USD,14772099072.0,S&P 500
DOV,Dover Corporation,27076212736.0,17.925522,0.0104,Industrials,Specialty Industrial Machinery,USD,27076212736.0,S&P 500
DOW,Dow Inc.,28738777088.0,27.366667,0.0682,Basic Materials,Chemicals,USD,28738777088.0,S&P 500
DHI,"D.R. Horton, Inc.",45535256576.0,10.037481,0.0108,Consumer Cyclical,Residential Construction,USD,45535256576.0,S&P 500
DTE,DTE Energy Company,24355076096.0,15.913397,0.037100002,Utilities,Utilities - Regulated Electric,USD,24355076096.0,S&P 500
DUK,Duke Energy Corporation,85451956224.0,19.824373,0.0378,Utilities,Utilities - Regulated Electric,USD,85451956224.0,S&P 500
DD,"DuPont de Nemours, Inc.",31965200384.0,59.750004,0.0199,Basic Materials,Specialty Chemicals,USD,31965200384.0,S&P 500
EMN,Eastman Chemical Company,10745135104.0,12.426273,0.0358,Basic Materials,Specialty Chemicals,USD,10745135104.0,S&P 500
ETN,Eaton Corporation plc,125515522048.0,33.787235,0.0117999995,Industrials,Specialty Industrial Machinery,USD,125515522048.0,S&P 500
EBAY,eBay Inc.,31613999104.0,16.624685,0.0164,Consumer Cyclical,Internet Retail,USD,31613999104.0,S&P 500
ECL,Ecolab Inc.,69921185792.0,34.584034,0.0105,Basic Materials,Specialty Chemicals,USD,69921185792.0,S&P 500
EIX,Edison International,21602969600.0,16.315788,0.059299998,Utilities,Utilities - Regulated Electric,USD,21602969600.0,S&P 500
EW,Edwards Lifesciences Corporation,41952473088.0,27.46332,,Healthcare,Medical Devices,USD,41952473088.0,S&P 500
EA,Electronic Arts Inc.,30712166400.0,30.02564,0.0064999997,Communication Services,Electronic Gaming & Multimedia,USD,30712166400.0,S&P 500
ELV,"Elevance Health, Inc.",92838780928.0,15.575874,0.0167,Healthcare,Healthcare Plans,USD,92838780928.0,S&P 500
EMR,Emerson Electric Co.,73384075264.0,45.691494,0.0164,Industrials,Specialty Industrial Machinery,USD,73384075264.0,S&P 500
ENPH,"Enphase Energy, Inc.",8223963648.0,132.32608,,Technology,Solar,USD,8223963648.0,S&P 500
ETR,Entergy Corporation,33979379712.0,19.279804,0.030299999,Utilities,Utilities - Regulated Electric,USD,33979379712.0,S&P 500
EOG,"EOG Resources, Inc.",73247858688.0,10.519385,0.0299,Energy,Oil & Gas E&P,USD,73247858688.0,S&P 500
EPAM,"EPAM Systems, Inc.",14285285376.0,32.66537,,Technology,Information Technology Services,USD,14285285376.0,S&P 500
EQT,EQT Corporation,30204145664.0,67.49333,0.0124,Energy,Oil & Gas E&P,USD,30204145664.0,S&P 500
EFX,Equifax Inc.,33613301760.0,60.262222,0.0058,Industrials,Consulting Services,USD,33613301760.0,S&P 500
EQIX,"Equinix, Inc.",87633477632.0,81.970215,0.0188,Real Estate,REIT - Specialty,USD,87633477632.0,S&P 500
EQR,Equity Residential,26782050304.0,28.894518,0.0394,Real Estate,REIT - Residential,USD,26782050304.0,S&P 500
ERIE,Erie Indemnity Company,20597514240.0,36.917526,0.0139,Financial Services,Insurance Brokers,USD,20597514240.0,S&P 500
ESS,"Essex Property Trust, Inc.",18422863872.0,32.353214,0.0354,Real Estate,REIT - Residential,USD,18422863872.0,S&P 500
EL,The Estée Lauder Companies Inc.,29536708608.0,146.92857,0.017,Consumer Defensive,Household & Personal Products,USD,29536708608.0,S&P 500
EG,"Everest Group, Ltd.",15107407872.0,5.4820647,0.0228,Financial Services,Insurance - Reinsurance,USD,15107407872.0,S&P 500
EVRG,"Evergy, Inc.",14493087744.0,17.032433,0.0424,Utilities,Utilities - Regulated Electric,USD,14493087744.0,S&P 500
ES,Eversource Energy,20987504640.0,,0.0499,Utilities,Utilities - Regulated Electric,USD,20987504640.0,S&P 500
EXC,Exelon Corporation,39761125376.0,16.28395,0.038399998,Utilities,Utilities - Regulated Electric,USD,39761125376.0,S&P 500
EXPE,"Expedia Group, Inc.",21981820928.0,22.271782,,Consumer Cyclical,Travel Services,USD,21981820928.0,S&P 500
EXPD,"Expeditors International of Washington, Inc.",15999257600.0,22.280703,0.0128,Industrials,Integrated Freight & Logistics,USD,15999257600.0,S&P 500
EXR,Extra Space Storage Inc.,33750243328.0,40.805336,0.0423,Real Estate,REIT - Industrial,USD,33750243328.0,S&P 500
XOM,Exxon Mobil Corporation,477614407680.0,13.533002,0.0364,Energy,Oil & Gas Integrated,USD,477614407680.0,S&P 500
FFIV,"F5, Inc.",17431216128.0,29.926294,,Technology,Software - Infrastructure,USD,17431216128.0,S&P 500
FDS,FactSet Research Systems Inc.,17669879808.0,33.330704,0.0088,Financial Services,Financial Data & Stock Exchanges,USD,17669879808.0,S&P 500
FICO,Fair Isaac Corporation,45468741632.0,90.91936,,Technology,Software - Application,USD,45468741632.0,S&P 500
FAST,Fastenal Company,42471546880.0,37.04,0.0209,Industrials,Industrial Distribution,USD,42471546880.0,S&P 500
FRT,Federal Realty Investment Trust,9173815296.0,31.156977,0.041100003,Real Estate,REIT - Retail,USD,9173815296.0,S&P 500
FDX,FedEx Corporation,66248478720.0,17.57572,0.02,Industrials,Integrated Freight & Logistics,USD,66248478720.0,S&P 500
FIS,"Fidelity National Information Services, Inc.",43412865024.0,83.13402,0.0179,Technology,Information Technology Services,USD,43412865024.0,S&P 500
FITB,Fifth Third Bancorp,29587449856.0,14.066878,0.0334,Financial Services,Banks - Regional,USD,29587449856.0,S&P 500
FSLR,"First Solar, Inc.",17772697600.0,14.311206,,Technology,Solar,USD,17772697600.0,S&P 500
FE,FirstEnergy Corp.,22862493696.0,25.593548,0.0429,Utilities,Utilities - Regulated Electric,USD,22862493696.0,S&P 500
FI,"Fiserv, Inc.",120900968448.0,40.94605,,Technology,Information Technology Services,USD,120900968448.0,S&P 500
FMC,FMC Corporation,7032012288.0,4.6210012,0.041199997,Basic Materials,Agricultural Inputs,USD,7032012288.0,S&P 500
F,Ford Motor Company,40577499136.0,11.602273,0.0588,Consumer Cyclical,Auto Manufacturers,USD,40577499136.0,S&P 500
FTNT,"Fortinet, Inc.",76131778560.0,49.914574,,Technology,Software - Infrastructure,USD,76131778560.0,S&P 500
FTV,Fortive Corporation,27981436928.0,32.260002,0.004,Technology,Scientific & Technical Instruments,USD,27981436928.0,S&P 500
FOXA,Fox Corporation,22425413632.0,12.330073,0.0107,Communication Services,Entertainment,USD,22425413632.0,S&P 500
FOX,Fox Corporation,22425427968.0,11.6992655,0.0113,Communication Services,Entertainment,USD,22425427968.0,S&P 500
BEN,"Franklin Resources, Inc.",10505859072.0,23.588234,0.0638,Financial Services,Asset Management,USD,10505859072.0,S&P 500
FCX,Freeport-McMoRan Inc.,52131819520.0,27.907692,0.0153,Basic Materials,Copper,USD,52131819520.0,S&P 500
GRMN,Garmin Ltd.,41158635520.0,27.23507,0.0139999995,Technology,Scientific & Technical Instruments,USD,41158635520.0,S&P 500
IT,"Gartner, Inc.",41497485312.0,39.674778,,Technology,Information Technology Services,USD,41497485312.0,S&P 500
GE,GE Aerospace,213771681792.0,32.69294,0.0058999998,Industrials,Aerospace & Defense,USD,213771681792.0,S&P 500
GEHC,GE HealthCare Technologies Inc.,40136290304.0,24.068493,0.0016,Healthcare,Health Information Services,USD,40136290304.0,S&P 500
GEV,GE Vernova Inc.,97374781440.0,63.306454,0.0023999999,Utilities,Utilities - Renewable,USD,97374781440.0,S&P 500
GEN,Gen Digital Inc.,17028257792.0,27.90909,0.018099999,Technology,Software - Infrastructure,USD,17028257792.0,S&P 500
GNRC,Generac Holdings Inc.,8812739584.0,30.858332,,Industrials,Specialty Industrial Machinery,USD,8812739584.0,S&P 500
GD,General Dynamics Corporation,67977240576.0,18.448275,0.0216,Industrials,Aerospace & Defense,USD,67977240576.0,S&P 500
GIS,"General Mills, Inc.",33018736640.0,13.02174,0.0364,Consumer Defensive,Packaged Foods,USD,33018736640.0,S&P 500
GM,General Motors Company,49531199488.0,7.8147564,0.0087,Consumer Cyclical,Auto Manufacturers,USD,49531199488.0,S&P 500
GPC,Genuine Parts Company,16175448064.0,14.992267,0.0344,Consumer Cyclical,Auto Parts,USD,16175448064.0,S&P 500
GILD,"Gilead Sciences, Inc.",119130939392.0,1062.1111,0.0322,Healthcare,Drug Manufacturers - General,USD,119130939392.0,S&P 500
GPN,Global Payments Inc.,28075888640.0,20.815094,0.0091,Industrials,Specialty Business Services,USD,28075888640.0,S&P 500
GL,Globe Life Inc.,10237105152.0,10.334745,0.007900001,Financial Services,Insurance - Life,USD,10237105152.0,S&P 500
